"","VariableName","ChiSquared","PValue"
"2","CountryOfExploitation",2549.2150759553,0
"3","gender",390.408976838446,1.67404773178313e-85
"4","ageBroad",950.397110669264,6.81262436116433e-194
"5","isForcedLabour",695.40527630845,9.87786090640632e-152
"6","isSexualExploit",695.40527630845,9.87786090640632e-152
"7","typeOfLabourAgriculture",11.644630332659,0.00296074259231099
"8","typeOfLabourConstruction",229.167998601285,1.72504881573522e-50
"9","typeOfLabourDomesticWork",50.6621813352121,9.97348875781743e-12
"10","typeOfLabourHospitality",35.0544814448052,2.44352097465835e-08
"11","typeOfLabourManufacturing",81.8896252154785,1.65155796917081e-18
"12","typeOfLabourOther",4.21009570151057,0.121839844001031
"13","typeOfLabourNotSpecified",29.2656912727829,4.41606935643917e-07
"14","recruiterRelationFriend",30.5989685271319,2.26734918085944e-07
"15","recruiterRelationFamily",1.4404668476647,0.486638649642707
"16","recruiterRelationOther",340.934436562853,9.26889057299444e-75
"17","recruiterRelationUnknown",435.0763059089,3.3448802056675e-95
